Sygnatura czasowa,Gry regularne,Zainteresowanie e-sport,Zainteresowanie turniej,Czy udzia³,Gry turniej,Dru¿yny,P³eæ,Wiek,Wydzia³,Czy poda³ mail
5/5/2017 14:21:17,Counter-Strike: Global Offensive,Tak ogl¹dam livestreamy z rozgrywek,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",FALSE,Counter-Strike: Global Offensive,Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,18,Instytut Anglistyki,FALSE
5/3/2017 13:34:37,"Hearthstone, League of legends",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,League of legends,Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,18,"Matematyki, Informatyki i Mechaniki",FALSE
5/4/2017 19:56:28,"Hearthstone, League of legends, Counter-Strike: Global Offensive, Starcraft 2","Tak œledzê wyniki dru¿yn e-sportowych, Tak ogl¹dam livestreamy z rozgrywek","Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive","Mia³bym/mia³abym czêœæ dru¿yny do League of legends, Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive, Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,19,Filozofii i Socjologii,FALSE
5/3/2017 12:48:13,Nie gram w nic regularnie,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,FALSE,Nie dotyczy,Nie dotyczy,Mê¿czyzna,19,Fizyki,FALSE
5/5/2017 10:26:56,"Hearthstone, League of legends",Tak ogl¹dam livestreamy z rozgrywek,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"Hearthstone, League of legends",Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,19,Instytut Archeologii ,TRUE
5/2/2017 18:04:23,Quake Live,Nie interesuje siê e-sportem,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Counter-Strike: Global Offensive, Quake Live",Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 18:11:21,"League of legends, Counter-Strike: Global Offensive, Heroes of Might and Magic 3",Tak ogl¹dam livestreamy z rozgrywek,"Œledzi³bym/œledzi³abym wyniki, Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Heroes of Might and Magic 3",Nie mia³bym/mia³abym dru¿yny do League of legends,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",TRUE
5/2/2017 18:18:37,Heroes of Might and Magic 3,Nie interesuje siê e-sportem,Nie interesowa³oby mnie to,TRUE,Heroes of Might and Magic 3,Nie dotyczy,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 18:25:13,Nie gram w nic regularnie,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,"Ogl¹da³bym/ogl¹da³abym livestream z rozgrywek, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"League of legends, Counter-Strike: Global Offensive","Nie mia³bym/mia³abym dru¿yny do League of legends, Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive",Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 19:22:40,Dota 2,Tak ogl¹dam livestreamy z rozgrywek,Œledzi³bym/œledzi³abym wyniki,TRUE,Dota 2,Nie mia³bym/mia³abym dru¿yny do Dota 2,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
5/2/2017 21:42:37,"Overwatch, Hearthstone, Counter-Strike: Global Offensive",Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki,TRUE,"Overwatch, Hearthstone",Nie mia³bym/mia³abym dru¿yny do Overwatch,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",TRUE
5/3/2017 11:01:42,League of legends,Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,Œledzi³bym/œledzi³abym wyniki,FALSE,"League of legends, Counter-Strike: Global Offensive",Mia³bym/mia³abym czêœæ dru¿yny do League of legends,Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",TRUE
5/3/2017 14:21:55,Heroes of Might and Magic 3,Nie interesuje siê e-sportem,"Œledzi³bym/œledzi³abym wyniki, Chcia³bym/chcia³abym uczestniczyæ w imprezie (np. na Auli) gdzie prowadzone by³by rozgrywki",TRUE,"Heroes of Might and Magic 3, Heroes of Might and Magic 5","Mia³bym/mia³abym ca³¹ dru¿ynê do Heroes of Might and Magic 3, Mia³bym/mia³abym ca³¹ dru¿ynê do Heroes of Might and Magic 5",Mê¿czyzna,19,"Matematyki, Informatyki i Mechaniki",FALSE
