Drużyny,id_druzyny,id_odp,id_przech_odp_druzyny
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,1,1
Nie miałbym/miałabym drużyny do League of legends,23,2,2
Miałbym/miałabym część drużyny do League of legends,12,3,3
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,3,4
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,3,5
Nie dotyczy,16,4,6
Miałbym/miałabym część drużyny do League of legends,12,5,7
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,6,8
Nie miałbym/miałabym drużyny do League of legends,23,7,9
Nie dotyczy,16,8,10
Nie miałbym/miałabym drużyny do League of legends,23,9,11
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,9,12
Nie miałbym/miałabym drużyny do Dota 2,21,10,13
Nie miałbym/miałabym drużyny do Overwatch,24,11,14
Miałbym/miałabym część drużyny do League of legends,12,12,15
Miałbym/miałabym całą drużynę do Heroes of Might and Magic 3,4,13,16
Miałbym/miałabym całą drużynę do Heroes of Might and Magic 5,5,13,17
Nie miałbym/miałabym drużyny do Dota 2,21,14,18
Nie dotyczy,16,15,19
Nie miałbym/miałabym drużyny do League of legends,23,16,20
Nie dotyczy,16,17,21
Nie dotyczy,16,18,22
Nie dotyczy,16,19,23
Nie dotyczy,16,20,24
Miałbym/miałabym część drużyny do League of legends,12,21,25
Nie miałbym/miałabym drużyny do League of legends,23,22,26
Nie dotyczy,16,23,27
Miałbym/miałabym całą drużynę do League of legends,6,24,28
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,24,29
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,25,30
Nie dotyczy,16,26,31
Miałbym/miałabym część drużyny do League of legends,12,27,32
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,28,33
Nie dotyczy,16,29,34
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,30,35
Nie dotyczy,16,31,36
Nie miałabym/miałabym drużyny do Heroes of the Storm,17,32,37
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,33,38
Nie miałbym/miałabym drużyny do Overwatch,24,34,39
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,34,40
Miałbym/miałabym część drużyny do League of legends,12,35,41
Nie dotyczy,16,36,42
Nie miałbym/miałabym drużyny do League of legends,23,37,43
Nie miałbym/miałabym drużyny do League of legends,23,38,44
Miałbym/miałabym część drużyny do League of legends,12,39,45
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,39,46
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,40,47
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,41,48
Miałbym/miałabym całą drużynę do Dota 2,2,42,49
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,43,50
Nie dotyczy,16,44,51
Nie dotyczy,16,45,52
Miałbym/miałabym całą drużynę do World of Warcraft,9,46,53
Nie miałbym/miałabym drużyny do Heros of the Storm,22,47,54
Nie dotyczy,16,48,55
Nie dotyczy,16,49,56
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,50,57
Nie miałbym/miałabym drużyny do Overwatch,24,51,58
Nie miałbym/miałabym drużyny do League of legends,23,51,59
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,52,60
Miałbym/miałabym część drużyny do Dota 2,11,53,61
Nie dotyczy,16,54,62
Nie miałbym/miałabym drużyny do League of legends,23,55,63
Nie miałbym/miałabym drużyny do Overwatch,24,56,64
Miałbym/miałabym część drużyny do League of legends,12,57,65
Nie miałbym/miałabym drużyny do Overwatch,24,58,66
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,59,67
Nie dotyczy,16,60,68
Nie dotyczy,16,61,69
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,62,70
Nie dotyczy,16,63,71
Nie dotyczy,16,64,72
Nie dotyczy,16,65,73
Miałbym/miałabym część drużyny do League of legends,12,66,74
Nie dotyczy,16,67,75
Nie dotyczy,16,68,76
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,69,77
Nie dotyczy,16,70,78
Nie dotyczy,16,71,79
Miałbym/miałabym część drużyny do Overwatch,13,72,80
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,72,81
Nie dotyczy,16,73,82
Nie dotyczy,16,74,83
Miałbym/miałabym całą drużynę do League of legends,6,75,84
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,75,85
Miałbym/miałabym całą drużynę do League of legends,6,76,86
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,76,87
Miałbym/miałabym część drużyny do League of legends,12,77,88
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,77,89
Miałbym/miałabym część drużyny do Overwatch,13,78,90
Miałbym/miałabym część drużyny do League of legends,12,78,91
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,78,92
Nie dotyczy,16,79,93
Miałbym/miałabym część drużyny do League of legends,12,80,94
Miałbym/miałabym część drużyny do League of legends,12,81,95
Miałbym/miałabym część drużyny do League of legends,12,82,96
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,82,97
Nie dotyczy,16,83,98
Miałbym/miałabym część drużyny do League of legends,12,84,99
Nie dotyczy,16,85,100
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,86,101
Nie dotyczy,16,87,102
Nie dotyczy,16,88,103
Nie dotyczy,16,89,104
Miałbym/miałabym część drużyny do League of legends,12,90,105
Nie miałbym/miałabym drużyny do League of legends,23,90,106
Nie dotyczy,16,91,107
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,92,108
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,93,109
Nie dotyczy,16,94,110
Nie miałbym/miałabym drużyny do Heros of the Storm,22,95,111
Nie dotyczy,16,96,112
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,97,113
Miałbym/miałabym część drużyny do League of legends,12,98,114
Nie dotyczy,16,99,115
Nie dotyczy,16,100,116
Nie dotyczy,16,101,117
Nie dotyczy,16,102,118
Miałbym/miałabym całą drużynę do Overwatch,7,103,119
Miałbym/miałabym całą drużynę do League of legends,6,104,120
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,104,121
Miałbym/miałabym część drużyny do Overwatch,13,105,122
Nie dotyczy,16,106,123
Miałbym/miałabym całą drużynę do Rocket League,8,107,124
Nie dotyczy,16,108,125
Nie miałbym/miałabym drużyny do League of legends,23,109,126
Nie miałbym/miałabym drużyny do League of legends,23,110,127
Nie dotyczy,16,111,128
Nie dotyczy,16,112,129
Miałbym/miałabym całą drużynę do Overwatch,7,113,130
Miałbym/miałabym całą drużynę do League of legends,6,113,131
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,114,132
Nie miałbym/miałabym drużyny do Overwatch,24,115,133
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,115,134
Miałbym/miałabym część drużyny do Overwatch,13,116,135
Miałbym/miałabym część drużyny do Tom Clancy’s Rainbow Six Siege,15,117,136
Nie dotyczy,16,118,137
Nie miałbym/miałabym drużyny do Overwatch,24,119,138
Nie dotyczy,16,120,139
Nie dotyczy,16,121,140
Nie dotyczy,16,122,141
Miałbym/miałabym część drużyny do League of legends,12,123,142
Nie dotyczy,16,124,143
Nie dotyczy,16,125,144
Nie miałbym/miałabym drużyny do Call of Duty,19,126,145
Nie miałbym/miałabym drużyny do Battlefield,18,126,146
Miałbym/miałabym część drużyny do League of legends,12,127,147
Miałbym/miałabym całą drużynę do H1Z1: King of the Kill,3,128,148
Nie miałbym/miałabym drużyny do Team Fortress 2,25,129,149
Nie miałbym/miałabym drużyny do Tekken Tag Tournament 2,26,129,150
Miałbym/miałabym całą drużynę do League of legends,6,130,151
Miałbym/miałabym całą drużynę do League of legends,6,131,152
Miałbym/miałabym całą drużynę do Counter-Strike: Global Offensive,1,131,153
Nie miałbym/miałabym drużyny do Overwatch,24,132,154
Miałbym/miałabym całą drużynę do League of legends,6,133,155
Nie dotyczy,16,134,156
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,135,157
Nie dotyczy,16,136,158
Miałbym/miałabym część drużyny do League of legends,12,137,159
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,137,160
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,138,161
Miałbym/miałabym część drużyny do League of legends,12,139,162
Nie dotyczy,16,140,163
Nie miałbym/miałabym drużyny do League of legends,23,141,164
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,142,165
Miałbym/miałabym część drużyny do Rocket League,14,142,166
Miałbym/miałabym całą drużynę do League of legends,6,143,167
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,143,168
Nie dotyczy,16,144,169
Nie dotyczy,16,145,170
Miałbym/miałabym część drużyny do League of legends,12,146,171
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,146,172
Nie dotyczy,16,147,173
Miałbym/miałabym część drużyny do Overwatch,13,148,174
Nie miałbym/miałabym drużyny do Call of Duty,19,149,175
Nie dotyczy,16,150,176
Nie dotyczy,16,151,177
Miałbym/miałabym całą drużynę do Dota 2,2,152,178
Miałbym/miałabym całą drużynę do Overwatch,7,153,179
Miałbym/miałabym całą drużynę do League of legends,6,153,180
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,153,181
Nie dotyczy,16,154,182
Miałbym/miałabym całą drużynę do League of legends,6,155,183
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,156,184
Nie dotyczy,16,157,185
Nie dotyczy,16,158,186
Miałbym/miałabym część drużyny do Overwatch,13,159,187
Miałbym/miałabym część drużyny do League of legends,12,159,188
Miałbym/miałabym część drużyny do Counter-Strike: Global Offensive,10,159,189
Nie dotyczy,16,160,190
Nie dotyczy,16,161,191
Nie miałbym/miałabym drużyny do League of legends,23,162,192
Nie dotyczy,16,163,193
Nie dotyczy,16,164,194
Nie miałbym/miałabym drużyny do League of legends,23,165,195
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,166,196
Nie miałbym/miałabym drużyny do Counter-Strike: Global Offensive,20,167,197
Nie dotyczy,16,168,198
Nie dotyczy,16,169,199
Nie miałbym/miałabym drużyny do Overwatch,24,170,200
