id_przech_odp_regularne_gry,id_odp,id_gry_regularne,Gry regularne
1,1,4,Counter-Strike: Global Offensive
6,3,4,Counter-Strike: Global Offensive
13,7,4,Counter-Strike: Global Offensive
20,11,4,Counter-Strike: Global Offensive
32,21,4,Counter-Strike: Global Offensive
36,25,4,Counter-Strike: Global Offensive
2,2,14,Hearthstone
4,3,14,Hearthstone
9,5,14,Hearthstone
19,11,14,Hearthstone
38,27,14,Hearthstone
3,2,17,League of legends
5,3,17,League of legends
10,5,17,League of legends
12,7,17,League of legends
21,12,17,League of legends
25,16,17,League of legends
31,21,17,League of legends
33,22,17,League of legends
35,24,17,League of legends
7,3,28,Starcraft 2
26,16,28,Starcraft 2
17,10,7,Dota 2
23,14,7,Dota 2
8,4,21,Nie gram w nic regularnie
16,9,21,Nie gram w nic regularnie
24,15,21,Nie gram w nic regularnie
27,17,21,Nie gram w nic regularnie
28,18,21,Nie gram w nic regularnie
29,19,21,Nie gram w nic regularnie
30,20,21,Nie gram w nic regularnie
34,23,21,Nie gram w nic regularnie
37,26,21,Nie gram w nic regularnie
11,6,25,Quake Live
14,7,15,Heroes of Might and Magic 3
15,8,15,Heroes of Might and Magic 3
22,13,15,Heroes of Might and Magic 3
18,11,22,Overwatch
39,27,17,League of legends
40,28,14,Hearthstone
41,29,21,Nie gram w nic regularnie
42,30,4,Counter-Strike: Global Offensive
43,31,9,FIFA
44,32,28,Starcraft 2
45,32,16,Heroes of the Storm
46,33,4,Counter-Strike: Global Offensive
47,34,22,Overwatch
48,35,17,League of legends
49,36,34,Wiedźmin
50,37,14,Hearthstone
51,38,17,League of legends
52,39,21,Nie gram w nic regularnie
53,40,4,Counter-Strike: Global Offensive
54,41,4,Counter-Strike: Global Offensive
55,42,7,Dota 2
56,42,24,Paladins  
57,43,4,Counter-Strike: Global Offensive
58,44,21,Nie gram w nic regularnie
59,45,21,Nie gram w nic regularnie
60,46,36,World of Warcraft
61,47,16,Heroes of the Storm
62,48,21,Nie gram w nic regularnie
63,49,21,Nie gram w nic regularnie
64,50,4,Counter-Strike: Global Offensive
65,50,28,Starcraft 2
66,51,22,Overwatch
67,51,17,League of legends
68,51,37,XCOM
69,51,33,Warhammer 40000: Dawn of War II
70,52,4,Counter-Strike: Global Offensive
71,53,7,Dota 2
72,54,21,Nie gram w nic regularnie
73,55,17,League of legends
74,56,22,Overwatch
75,57,21,Nie gram w nic regularnie
76,58,22,Overwatch
77,58,14,Hearthstone
78,59,4,Counter-Strike: Global Offensive
79,60,21,Nie gram w nic regularnie
80,61,21,Nie gram w nic regularnie
81,62,4,Counter-Strike: Global Offensive
82,63,21,Nie gram w nic regularnie
83,64,28,Starcraft 2
84,64,30,The Elder Scrolls V: Skyrim
85,65,34,Wiedźmin
86,65,27,Star Wars Battlefront
87,66,17,League of legends
88,67,12,Gwint
89,68,21,Nie gram w nic regularnie
90,69,4,Counter-Strike: Global Offensive
91,70,21,Nie gram w nic regularnie
92,71,21,Nie gram w nic regularnie
93,72,22,Overwatch
94,72,4,Counter-Strike: Global Offensive
95,73,21,Nie gram w nic regularnie
96,74,14,Hearthstone
97,74,36,World of Warcraft
98,74,12,Gwint
99,75,14,Hearthstone
100,75,17,League of legends
101,75,4,Counter-Strike: Global Offensive
102,76,21,Nie gram w nic regularnie
103,77,17,League of legends
104,77,4,Counter-Strike: Global Offensive
105,78,22,Overwatch
106,78,17,League of legends
107,78,4,Counter-Strike: Global Offensive
108,79,14,Hearthstone
109,80,14,Hearthstone
110,81,17,League of legends
111,81,3,Call of Duty
112,81,9,FIFA
113,81,18,Mortal Kombat
114,82,21,Nie gram w nic regularnie
115,83,12,Gwint
116,84,17,League of legends
117,84,4,Counter-Strike: Global Offensive
118,85,21,Nie gram w nic regularnie
119,86,4,Counter-Strike: Global Offensive
120,87,9,FIFA
121,88,21,Nie gram w nic regularnie
