id_przech_odp_gry_turniejowe,id_odp,id_gry_turniejowe,Gry turniej
1,1,3,Counter-Strike: Global Offensive
4,3,3,Counter-Strike: Global Offensive
8,6,3,Counter-Strike: Global Offensive
14,9,3,Counter-Strike: Global Offensive
19,12,3,Counter-Strike: Global Offensive
30,21,3,Counter-Strike: Global Offensive
2,2,15,League of legends
3,3,15,League of legends
7,5,15,League of legends
10,7,15,League of legends
13,9,15,League of legends
18,12,15,League of legends
29,21,15,League of legends
31,22,15,League of legends
26,18,4,FIFA
5,4,21,Nie dotyczy
23,15,21,Nie dotyczy
25,17,21,Nie dotyczy
27,19,21,Nie dotyczy
28,20,21,Nie dotyczy
32,23,21,Nie dotyczy
6,5,14,Hearthstone
17,11,14,Hearthstone
9,6,7,Quake Live
15,10,9,Dota 2
22,14,9,Dota 2
11,7,16,Heroes of Might and Magic 3
12,8,16,Heroes of Might and Magic 3
20,13,16,Heroes of Might and Magic 3
16,11,22,Overwatch
21,13,17,Heroes of Might and Magic 5
24,16,24,Starcraft 2
33,24,15,League of legends
34,24,3,Counter-Strike: Global Offensive
35,25,3,Counter-Strike: Global Offensive
36,26,21,Nie dotyczy
37,27,15,League of legends
38,28,22,Overwatch
39,28,14,Hearthstone
40,29,21,Nie dotyczy
41,30,3,Counter-Strike: Global Offensive
42,31,4,FIFA
43,32,18,Heroes of the Storm
44,32,19,StarCraft 2
45,33,3,Counter-Strike: Global Offensive
46,34,22,Overwatch
47,34,3,Counter-Strike: Global Offensive
48,35,15,League of legends
49,36,12,Gwint
50,37,14,Hearthstone
51,38,15,League of legends
52,39,15,League of legends
53,39,3,Counter-Strike: Global Offensive
54,40,3,Counter-Strike: Global Offensive
55,41,3,Counter-Strike: Global Offensive
56,42,9,Dota 2
57,43,3,Counter-Strike: Global Offensive
58,44,21,Nie dotyczy
59,45,21,Nie dotyczy
60,46,31,World of Warcraft
61,47,18,Heroes of the Storm
62,48,21,Nie dotyczy
63,49,21,Nie dotyczy
64,50,24,Starcraft 2
65,51,22,Overwatch
66,51,15,League of legends
67,52,3,Counter-Strike: Global Offensive
68,53,9,Dota 2
69,54,21,Nie dotyczy
70,55,15,League of legends
71,56,22,Overwatch
72,57,15,League of legends
73,58,22,Overwatch
74,58,14,Hearthstone
75,59,22,Overwatch
76,59,3,Counter-Strike: Global Offensive
77,60,21,Nie dotyczy
78,61,21,Nie dotyczy
79,62,3,Counter-Strike: Global Offensive
80,63,21,Nie dotyczy
81,64,21,Nie dotyczy
82,65,28,Wiedźmin
83,65,29,Star Wars Battlefront
84,66,15,League of legends
85,67,12,Gwint
86,68,21,Nie dotyczy
87,69,3,Counter-Strike: Global Offensive
