id_przech_odp_zainteresowanie_turniej,id_odp,id_zainteresowanie_turniej,Zainteresowanie turniej
1,1,3,Oglądałbym/oglądałabym livestream z rozgrywek
2,1,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
3,2,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
4,3,4,Śledziłbym/śledziłabym wyniki
5,3,3,Oglądałbym/oglądałabym livestream z rozgrywek
6,3,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
7,4,2,Nie interesowałoby mnie to
8,5,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
9,6,3,Oglądałbym/oglądałabym livestream z rozgrywek
10,6,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
11,7,4,Śledziłbym/śledziłabym wyniki
12,7,3,Oglądałbym/oglądałabym livestream z rozgrywek
13,7,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
14,8,2,Nie interesowałoby mnie to
15,9,3,Oglądałbym/oglądałabym livestream z rozgrywek
16,9,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
17,10,4,Śledziłbym/śledziłabym wyniki
18,11,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
19,12,4,Śledziłbym/śledziłabym wyniki
20,13,4,Śledziłbym/śledziłabym wyniki
21,13,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
22,14,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
23,15,2,Nie interesowałoby mnie to
24,16,3,Oglądałbym/oglądałabym livestream z rozgrywek
25,17,2,Nie interesowałoby mnie to
26,18,2,Nie interesowałoby mnie to
27,19,2,Nie interesowałoby mnie to
28,20,2,Nie interesowałoby mnie to
29,21,4,Śledziłbym/śledziłabym wyniki
30,21,3,Oglądałbym/oglądałabym livestream z rozgrywek
31,21,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
32,22,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
33,23,2,Nie interesowałoby mnie to
34,24,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
35,25,3,Oglądałbym/oglądałabym livestream z rozgrywek
36,26,4,Śledziłbym/śledziłabym wyniki
37,27,4,Śledziłbym/śledziłabym wyniki
38,27,3,Oglądałbym/oglądałabym livestream z rozgrywek
39,27,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
40,28,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
41,29,2,Nie interesowałoby mnie to
42,30,4,Śledziłbym/śledziłabym wyniki
43,30,3,Oglądałbym/oglądałabym livestream z rozgrywek
44,30,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
45,31,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
46,32,4,Śledziłbym/śledziłabym wyniki
47,32,3,Oglądałbym/oglądałabym livestream z rozgrywek
48,33,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
49,34,4,Śledziłbym/śledziłabym wyniki
50,34,3,Oglądałbym/oglądałabym livestream z rozgrywek
51,34,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
52,35,4,Śledziłbym/śledziłabym wyniki
53,35,3,Oglądałbym/oglądałabym livestream z rozgrywek
54,36,3,Oglądałbym/oglądałabym livestream z rozgrywek
55,37,4,Śledziłbym/śledziłabym wyniki
56,37,3,Oglądałbym/oglądałabym livestream z rozgrywek
57,37,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
58,38,3,Oglądałbym/oglądałabym livestream z rozgrywek
59,38,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
60,39,4,Śledziłbym/śledziłabym wyniki
61,39,3,Oglądałbym/oglądałabym livestream z rozgrywek
62,39,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
63,40,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
64,41,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
65,42,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
66,43,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
67,44,2,Nie interesowałoby mnie to
68,45,2,Nie interesowałoby mnie to
69,46,4,Śledziłbym/śledziłabym wyniki
70,46,3,Oglądałbym/oglądałabym livestream z rozgrywek
71,46,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
72,47,3,Oglądałbym/oglądałabym livestream z rozgrywek
73,47,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
74,48,2,Nie interesowałoby mnie to
75,49,4,Śledziłbym/śledziłabym wyniki
76,50,4,Śledziłbym/śledziłabym wyniki
77,50,3,Oglądałbym/oglądałabym livestream z rozgrywek
78,50,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
79,51,3,Oglądałbym/oglądałabym livestream z rozgrywek
80,51,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
81,52,4,Śledziłbym/śledziłabym wyniki
82,52,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
83,53,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
84,54,2,Nie interesowałoby mnie to
85,55,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
86,56,4,Śledziłbym/śledziłabym wyniki
87,56,3,Oglądałbym/oglądałabym livestream z rozgrywek
88,56,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
89,57,2,Nie interesowałoby mnie to
90,58,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
91,59,4,Śledziłbym/śledziłabym wyniki
92,59,3,Oglądałbym/oglądałabym livestream z rozgrywek
93,59,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
94,60,3,Oglądałbym/oglądałabym livestream z rozgrywek
95,61,2,Nie interesowałoby mnie to
96,62,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
97,63,2,Nie interesowałoby mnie to
98,64,4,Śledziłbym/śledziłabym wyniki
99,65,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
100,66,4,Śledziłbym/śledziłabym wyniki
101,66,3,Oglądałbym/oglądałabym livestream z rozgrywek
102,66,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
103,67,4,Śledziłbym/śledziłabym wyniki
104,67,3,Oglądałbym/oglądałabym livestream z rozgrywek
105,68,2,Nie interesowałoby mnie to
106,69,2,Nie interesowałoby mnie to
107,70,2,Nie interesowałoby mnie to
108,71,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
109,72,4,Śledziłbym/śledziłabym wyniki
110,72,3,Oglądałbym/oglądałabym livestream z rozgrywek
111,72,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
112,73,2,Nie interesowałoby mnie to
113,74,4,Śledziłbym/śledziłabym wyniki
114,74,3,Oglądałbym/oglądałabym livestream z rozgrywek
115,74,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
116,75,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
117,76,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
118,77,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
119,78,4,Śledziłbym/śledziłabym wyniki
120,79,4,Śledziłbym/śledziłabym wyniki
121,79,3,Oglądałbym/oglądałabym livestream z rozgrywek
122,80,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
123,81,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
124,82,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
125,83,4,Śledziłbym/śledziłabym wyniki
126,83,3,Oglądałbym/oglądałabym livestream z rozgrywek
127,84,4,Śledziłbym/śledziłabym wyniki
128,84,3,Oglądałbym/oglądałabym livestream z rozgrywek
129,84,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
130,85,2,Nie interesowałoby mnie to
131,86,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
132,87,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
133,88,2,Nie interesowałoby mnie to
134,89,2,Nie interesowałoby mnie to
135,90,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
136,91,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
137,92,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
138,93,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
139,94,3,Oglądałbym/oglądałabym livestream z rozgrywek
140,95,4,Śledziłbym/śledziłabym wyniki
141,95,3,Oglądałbym/oglądałabym livestream z rozgrywek
142,95,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
143,96,2,Nie interesowałoby mnie to
144,97,3,Oglądałbym/oglądałabym livestream z rozgrywek
145,98,4,Śledziłbym/śledziłabym wyniki
146,98,3,Oglądałbym/oglądałabym livestream z rozgrywek
147,98,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
148,99,1,Chciałbym/chciałabym uczestniczyć w imprezie (np. na Auli) gdzie prowadzone byłby rozgrywki
149,100,2,Nie interesowałoby mnie to
150,101,4,Śledziłbym/śledziłabym wyniki
151,102,2,Nie interesowałoby mnie to
