id_wydzial,nazwa_wydzialu
1,Biologii
2,Centrum Studiów Latynoamerykańskich 
3,Chemii
4,Dziennikarstwa i Nauk Politycznych
5,"Dziennikarstwa, Informacji i Bibliologii"
6,Filozofii i Socjologii
7,Fizyki
8,Geografii i Studiów Regionalnych
9,Geologii
10,Germanistyki
11,Instytut Anglistyki
12,Instytut Archeologii 
13,Instytut Historyczny
14,Instytut Komunikacji Specjalistycznej i Interkulturowej
15,Instytut Lingwistyki Stosowanej
16,Instytut Nauk Politycznych
17,Instytut Profilaktyki Społecznej i Resocjalizacji
18,Lingwistyki Stosowanej
19,"Matematyki, Informatyki i Mechaniki"
20,Międzywydziałowe Indywidualne Studia Matematyczno-Przyrodnicze
21,Nauk Ekonomicznych
22,Nauk Politycznych i Stosunków Międzynarodowych
23,Neofilologii
24,Orientalistyczny
25,Ośrodek Studiów Amerykańskich
26,Pedagogiczny
27,Polonistyki
28,Prawa i Administracji
29,Psychologii
30,Stosowanych Nauk Społecznych i Resocjalizacji
31,Uniwersyteckie Kolegium Kształcenia Nauczycieli Języka Angielskiego
32,Uniwersyteckie Kolegium Kształcenia Nauczycieli Języka Francuskiego
33,Zarządzania
