Zainteresowanie e-sport,id_esport,id_dop,Indeks
Tak ogl¹dam livestreamy z rozgrywek,4,1,1
Tak ogl¹dam livestreamy z rozgrywek,4,2,2
Tak œledzê wyniki dru¿yn e-sportowych,5,3,3
Tak ogl¹dam livestreamy z rozgrywek,4,3,4
Nie interesuje siê e-sportem,1,4,5
Tak ogl¹dam livestreamy z rozgrywek,4,5,6
Nie interesuje siê e-sportem,1,6,7
Tak ogl¹dam livestreamy z rozgrywek,4,7,8
Nie interesuje siê e-sportem,1,8,9
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,9,10
Tak ogl¹dam livestreamy z rozgrywek,4,10,11
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,11,12
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,12,13
Nie interesuje siê e-sportem,1,13,14
Nie interesuje siê e-sportem,1,14,15
Nie interesuje siê e-sportem,1,15,16
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,16,17
Nie wiem co to e-sport,2,17,18
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,18,19
Nie wiem co to e-sport,2,19,20
Nie interesuje siê e-sportem,1,20,21
Tak œledzê wyniki dru¿yn e-sportowych,5,21,22
Tak ogl¹dam livestreamy z rozgrywek,4,21,23
Tak ogl¹dam livestreamy z rozgrywek,4,22,24
Nie wiem co to e-sport,2,23,25
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,24,26
Tak œledzê wyniki dru¿yn e-sportowych,5,25,27
Tak ogl¹dam livestreamy z rozgrywek,4,26,28
Tak œledzê wyniki dru¿yn e-sportowych,5,27,29
Tak ogl¹dam livestreamy z rozgrywek,4,27,30
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,28,31
Nie interesuje siê e-sportem,1,29,32
Tak œledzê wyniki dru¿yn e-sportowych,5,30,33
Tak ogl¹dam livestreamy z rozgrywek,4,30,34
Nie interesuje siê e-sportem,1,31,35
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,32,36
Tak œledzê wyniki dru¿yn e-sportowych,5,33,37
Tak ogl¹dam livestreamy z rozgrywek,4,33,38
Tak œledzê wyniki dru¿yn e-sportowych,5,34,39
Tak ogl¹dam livestreamy z rozgrywek,4,34,40
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,35,41
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,36,42
Tak œledzê wyniki dru¿yn e-sportowych,5,37,43
Tak ogl¹dam livestreamy z rozgrywek,4,37,44
Tak ogl¹dam livestreamy z rozgrywek,4,38,45
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,39,46
Tak œledzê wyniki dru¿yn e-sportowych,5,40,47
Tak ogl¹dam livestreamy z rozgrywek,4,40,48
Tak œledzê wyniki dru¿yn e-sportowych,5,41,49
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,42,50
Tak œledzê wyniki dru¿yn e-sportowych,5,43,51
Nie interesuje siê e-sportem,1,44,52
Nie interesuje siê e-sportem,1,45,53
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,46,54
Tak œledzê wyniki dru¿yn e-sportowych,5,47,55
Tak ogl¹dam livestreamy z rozgrywek,4,47,56
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,48,57
Nie interesuje siê e-sportem,1,48,58
Tak ogl¹dam livestreamy z rozgrywek,4,49,59
Tak œledzê wyniki dru¿yn e-sportowych,5,50,60
Tak ogl¹dam livestreamy z rozgrywek,4,50,61
Tak œledzê wyniki dru¿yn e-sportowych,5,51,62
Tak ogl¹dam livestreamy z rozgrywek,4,51,63
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,52,64
Tak œledzê wyniki dru¿yn e-sportowych,5,53,65
Tak ogl¹dam livestreamy z rozgrywek,4,53,66
Nie interesuje siê e-sportem,1,54,67
Tak ogl¹dam livestreamy z rozgrywek,4,55,68
Nie interesuje siê e-sportem,1,56,69
Tak ogl¹dam livestreamy z rozgrywek,4,57,70
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,58,71
Tak œledzê wyniki dru¿yn e-sportowych,5,59,72
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,60,73
